source_path,source_full_url,parsed_name,parsed_city,parsed_specialty,best_candidate,candidate_address,navoria_target_url,match_score,second_best_score,status
/hausarzt/offenbach/frau-dr-med-gabriele-frey-offenbach,https://rzte-online.vercel.app/hausarzt/offenbach/frau-dr-med-gabriele-frey-offenbach,gabriele frey offenbach,offenbach,hausarzt,Frau Dr. med. Gabriele Frey,"Bieberer Str. 148, 63071 Offenbach am Main",https://navoria.de/praxis/offenbach-am-main/frau-dr-med-gabriele-frey-_DD4Z4,0.872,0.684,SAFE
/hautarzt/berlin/hautarztpraxis-rahaf-ali,https://rzte-online.vercel.app/hautarzt/berlin/hautarztpraxis-rahaf-ali,rahaf ali,berlin,hautarzt,Prof. Dr. Mazda Adli,"Markgrafenstraße 34, 10117 Berlin",https://navoria.de/praxis/berlin/prof-dr-mazda-adli-eyq0FA,0.615,0.573,REVIEW
/hausarzt/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer,https://rzte-online.vercel.app/hausarzt/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer,ulrich rupp florian setzer,crailsheim,hausarzt,,,,,,UNMATCHED
/orthopaede/wernigerode/dr-med-christian-gottwald-wernigerode,https://rzte-online.vercel.app/orthopaede/wernigerode/dr-med-christian-gottwald-wernigerode,christian gottwald wernigerode,wernigerode,orthopaede,,,,,,UNMATCHED
/hautarzt/annaberg-buchholz/diana-demmler-fachrztin-fr-haut-und-geschlechtskrankheiten-annaberg-buchholz,https://rzte-online.vercel.app/hautarzt/annaberg-buchholz/diana-demmler-fachrztin-fr-haut-und-geschlechtskrankheiten-annaberg-buchholz,diana demmler annaberg buchholz,annaberg-buchholz,hautarzt,,,,,,UNMATCHED
/arzt/duesseldorf/dr-med-jrg-wienke-dsseldorf,https://rzte-online.vercel.app/arzt/duesseldorf/dr-med-jrg-wienke-dsseldorf,jrg wienke duesseldorf,duesseldorf,arzt,Orthopädie Düsseldorf,"Am Hackenbruch 11, 40231 Düsseldorf-Stadtbezirk 8",https://navoria.de/praxis/duesseldorf/orthopaedie-duesseldorf-Sch2Lw,0.778,0.688,REVIEW
/arzt/coburg/dr-jaweed-abo-shawish,https://rzte-online.vercel.app/arzt/coburg/dr-jaweed-abo-shawish,jaweed abo shawish,coburg,arzt,,,,,,UNMATCHED
/hausarzt/koblenz/herr-dr-med-uwe-barnikel-koblenz,https://rzte-online.vercel.app/hausarzt/koblenz/herr-dr-med-uwe-barnikel-koblenz,uwe barnikel koblenz,koblenz,hausarzt,Herr Dr. med. Uwe Barnikel,"Kemmertstraße 1, 56072 Metternich",https://navoria.de/praxis/koblenz/herr-dr-med-uwe-barnikel-EZI9ko,0.872,0.626,SAFE
/augenarzt/montabaur/dr-med-christhoper-hagelauer-montabaur,https://rzte-online.vercel.app/augenarzt/montabaur/dr-med-christhoper-hagelauer-montabaur,christhoper hagelauer montabaur,montabaur,augenarzt,,,,,,UNMATCHED
/augenarzt/frankfurt/dr-med-c-hofmann-frankfurt,https://rzte-online.vercel.app/augenarzt/frankfurt/dr-med-c-hofmann-frankfurt,hofmann frankfurt,frankfurt,augenarzt,Dr. med. C. Hofmann,"Pfingstweidstraße 5, 60316 Frankfurt am Main-Bornheim/Ostend",https://navoria.de/praxis/frankfurt-am-main/dr-med-c-hofmann-sHk8sU,0.860,0.825,REVIEW
