source,target,name,status,verified,dedupe_by,match_score,reason
/arzt/annaberg-buchholz/diplmed-mario-meinig-annaberg-buchholz,https://navoria.de/praxis/annaberg-buchholz/dipl-med-mario-meinig-lXFjWM,Dipl.Med. Mario Meinig,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/annaberg-buchholz/herr-dr-med-jrgen-schulze-annaberg-buchholz,https://navoria.de/praxis/annaberg-buchholz/herr-dr-med-juergen-schulze-xkrJNM,Herr Dr. med. Jürgen Schulze,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/apolda/dr-med-stefan-teweleit-fa-innere-medizin-apolda,https://navoria.de/praxis/apolda/dr-med-stefan-teweleit-fa-innere-medizin-YIympU,"Dr. med. Stefan Teweleit, FA Innere Medizin",PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/backnang/martina-aggensteiner-backnang,https://navoria.de/praxis/backnang/martina-aggensteiner-0HrXA4,Martina Aggensteiner,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/bautzen/dr-med-markus-hentschel-bautzen,https://navoria.de/praxis/bautzen/dr-med-markus-hentschel-0QxrAE,Dr. med. Markus Hentschel,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/bernau-bei-berlin/frau-dipl-med-carola-becher,https://navoria.de/praxis/bernau-bei-berlin/frau-dipl-med-carola-becher-UPP0w8,Frau Dipl.-Med. Carola Becher,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/burgwedel/drmed-dorothee-kiwit-putzer-burgwedel,https://navoria.de/praxis/burgwedel/dr-med-dorothee-kiwit-putzer-FUxm70,Dr.med. Dorothee Kiwit-Putzer,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/coburg/dr-jaweed-abo-shawish,https://navoria.de/praxis/coburg/aboshawish-jaweed-ZkDo6c,AboShawish Jaweed,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/duesseldorf/dr-med-jrg-wienke-dsseldorf,https://navoria.de/praxis/duesseldorf/dr-med-joerg-wienke-Wb875s,Dr. med. Jörg Wienke,MATCHED_PHASE2,yes,,,street+plz+name
/arzt/eberbach/dr-dietger-schwittayy-eberbach,https://navoria.de/praxis/eberbach/dr-dietger-schwittay-HQG9tg,Dr. Dietger Schwittay,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/erkner/thorsten-kruse-facharzt-fuer-innere-medizin-8836,https://navoria.de/praxis/woltersdorf/thorsten-kruse-facharzt-fuer-innere-medizin-RuEqb8,Thorsten Kruse Facharzt für Innere Medizin,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/erkrath/frau-dr-med-maria-rita-langhorst-erkrath,https://navoria.de/praxis/erkrath/frau-dr-med-maria-rita-langhorst-7S8DHQ,Frau Dr. med. Maria-Rita Langhorst,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/erndtebrueck/praxis-said-moshref-erndtebrck,https://navoria.de/praxis/erndtebrueck/praxis-said-moshref-HJwZYc,Praxis Said Moshref,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/eschwege/herr-dr-med-roman-ergang-eschwege,https://navoria.de/praxis/eschwege/herr-dr-med-roman-ergang-ILZ3D8,Herr Dr. med. Roman Ergang,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/esslingen-am-neckar/herr-dr-med-georg-mayer,https://navoria.de/praxis/esslingen-am-neckar/herr-dr-med-georg-mayer-AbyyC0,Herr Dr. med. Georg Mayer,MATCHED_PHASE2,yes,,,street+plz+name
/arzt/esslingen-am-neckar/herr-dr-med-stefan-waldenmaier,https://navoria.de/praxis/esslingen-am-neckar/herr-dr-med-stefan-waldenmaier-Uv3Zls,Herr Dr. med. Stefan Waldenmaier,MATCHED_PHASE2,yes,,,street+plz+name
/arzt/finsterwalde/dr-med-astrid-knfel-finsterwalde,https://navoria.de/praxis/finsterwalde/dr-med-astrid-knoefel-rBKyB0,Dr. med. Astrid Knöfel,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/flensburg/drcarolin-langhanke-dr-christina-brombacher-flensburg,https://navoria.de/praxis/flensburg/drcarolin-langhanke-dr-christina-brombacher-1phW1o,Dr.Carolin Langhanke & Dr. Christina Brombacher,MATCHED_PHASE2,yes,,,street+plz+name
/arzt/freiberg/herr-dr-med-thomas-morgner-freiberg,https://navoria.de/praxis/freiberg/herr-dr-med-thomas-morgner-pbcWJk,Herr Dr. med. Thomas Morgner,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/gaggenau/herr-dr-med-till-grtschla-gaggenau,https://navoria.de/praxis/gaggenau/herr-dr-med-till-groetschla-ZTjwIs,Herr Dr. med. Till Grötschla,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/geilenkirchen/dr-kian-tajrobehkar-geilenkirchen,https://navoria.de/praxis/geilenkirchen/dr-kian-tajrobehkar-5cgcJ8,Dr. Kian Tajrobehkar,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/holzgerlingen/dr-med-dagmar-hofsss-bock-holzgerlingen,https://navoria.de/praxis/holzgerlingen/dr-med-dagmar-hofsaess-bock-i8xtEk,Dr. med. Dagmar Hofsäss-Bock,MATCHED_PHASE2,yes,,,street+plz+name
/arzt/katzhuette/drmed-gudrun-kolitsch-fachrztin-fr-innere-medizin-und-rheumatologie-katzhtte,https://navoria.de/praxis/katzhuette/dr-med-gudrun-kolitsch-fachaerztin-fuer-innere-medizin-und-rheumatolog,Dr.med. Gudrun Kolitsch Fachärztin für Innere Medizin und Rheumatologie,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/korbach/herr-walter-brggemann-korbach,https://navoria.de/praxis/korbach/herr-walter-brueggemann-kJR5SI,Herr Walter Brüggemann,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/landau/dr-med-bettina-eckhardt-landau,https://navoria.de/praxis/landau-an-der-isar/dr-med-bettina-eckhardt-Dvgffs,Dr. med. Bettina Eckhardt,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/loebau/dipl-med-anke-siegert-lbau,https://navoria.de/praxis/loebau/dipl-med-anke-siegert-86f3vU,Dipl. med. Anke Siegert,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/loebau/herr-dipl-med-helmer-hache-lbau,https://navoria.de/praxis/loebau/herr-dipl-med-helmer-hache-0sYbv4,Herr Dipl.-Med. Helmer Hache,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/lohr/herr-dr-med-dirk-trautvetter-lohr,https://navoria.de/praxis/lohr-am-main/herr-dr-med-dirk-trautvetter-832ebM,Herr Dr. med. Dirk Trautvetter,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/luedenscheid/herr-dr-med-dietrich-kmpfe-ldenscheid,https://navoria.de/praxis/luedenscheid/herr-dr-med-dietrich-kaempfe-oPVGPA,Herr Dr. med. Dietrich Kämpfe,PLACES_IMPORTED_NEW,yes,,0.98,
