source_path,source_full_url,parsed_name,parsed_city,parsed_specialty,best_candidate,candidate_address,navoria_target_url,match_score,second_best_score,status
/hausarzt/offenbach/frau-dr-med-gabriele-frey-offenbach,https://rzte-online.vercel.app/hausarzt/offenbach/frau-dr-med-gabriele-frey-offenbach,gabriele frey offenbach,offenbach,hausarzt,,,,,,UNMATCHED
/hautarzt/berlin/hautarztpraxis-rahaf-ali,https://rzte-online.vercel.app/hautarzt/berlin/hautarztpraxis-rahaf-ali,rahaf ali,berlin,hautarzt,,,,,,UNMATCHED
/hausarzt/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer,https://rzte-online.vercel.app/hausarzt/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer,ulrich rupp florian setzer,crailsheim,hausarzt,,,,,,UNMATCHED
/orthopaede/wernigerode/dr-med-christian-gottwald-wernigerode,https://rzte-online.vercel.app/orthopaede/wernigerode/dr-med-christian-gottwald-wernigerode,christian gottwald wernigerode,wernigerode,orthopaede,,,,,,UNMATCHED
/hautarzt/annaberg-buchholz/diana-demmler-fachrztin-fr-haut-und-geschlechtskrankheiten-annaberg-buchholz,https://rzte-online.vercel.app/hautarzt/annaberg-buchholz/diana-demmler-fachrztin-fr-haut-und-geschlechtskrankheiten-annaberg-buchholz,diana demmler annaberg buchholz,annaberg-buchholz,hautarzt,,,,,,UNMATCHED
/arzt/duesseldorf/dr-med-jrg-wienke-dsseldorf,https://rzte-online.vercel.app/arzt/duesseldorf/dr-med-jrg-wienke-dsseldorf,jrg wienke duesseldorf,duesseldorf,arzt,,,,,,UNMATCHED
/arzt/coburg/dr-jaweed-abo-shawish,https://rzte-online.vercel.app/arzt/coburg/dr-jaweed-abo-shawish,jaweed abo shawish,coburg,arzt,,,,,,UNMATCHED
/hausarzt/koblenz/herr-dr-med-uwe-barnikel-koblenz,https://rzte-online.vercel.app/hausarzt/koblenz/herr-dr-med-uwe-barnikel-koblenz,uwe barnikel koblenz,koblenz,hausarzt,,,,,,UNMATCHED
/augenarzt/montabaur/dr-med-christhoper-hagelauer-montabaur,https://rzte-online.vercel.app/augenarzt/montabaur/dr-med-christhoper-hagelauer-montabaur,christhoper hagelauer montabaur,montabaur,augenarzt,,,,,,UNMATCHED
/augenarzt/frankfurt/dr-med-c-hofmann-frankfurt,https://rzte-online.vercel.app/augenarzt/frankfurt/dr-med-c-hofmann-frankfurt,hofmann frankfurt,frankfurt,augenarzt,,,,,,UNMATCHED
/hausarzt/cuxhaven/herr-dr-med-roland-hartwig-cuxhaven,https://rzte-online.vercel.app/hausarzt/cuxhaven/herr-dr-med-roland-hartwig-cuxhaven,roland hartwig cuxhaven,cuxhaven,hausarzt,,,,,,UNMATCHED
/orthopaede/selb/herr-dr-med-detlef-phlmann-selb,https://rzte-online.vercel.app/orthopaede/selb/herr-dr-med-detlef-phlmann-selb,detlef phlmann selb,selb,orthopaede,,,,,,UNMATCHED
/hausarzt/dueren/herr-dr-med-axel-storch-dren,https://rzte-online.vercel.app/hausarzt/dueren/herr-dr-med-axel-storch-dren,axel storch dueren,dueren,hausarzt,,,,,,UNMATCHED
/hausarzt/gummersbach/dr-med-christiane-sieber-gummersbach,https://rzte-online.vercel.app/hausarzt/gummersbach/dr-med-christiane-sieber-gummersbach,christiane sieber gummersbach,gummersbach,hausarzt,,,,,,UNMATCHED
/hautarzt/bad-segeberg/herr-dr-med-stefan-peker-6982,https://rzte-online.vercel.app/hautarzt/bad-segeberg/herr-dr-med-stefan-peker-6982,stefan peker,bad-segeberg,hautarzt,,,,,,UNMATCHED
/hausarzt/muenster/prof-dr-med-dr-hc-michael-zitzmann-mnster,https://rzte-online.vercel.app/hausarzt/muenster/prof-dr-med-dr-hc-michael-zitzmann-mnster,michael zitzmann muenster,muenster,hausarzt,,,,,,UNMATCHED
/hausarzt/mainburg/dr-luitpold-kistler-mainburg,https://rzte-online.vercel.app/hausarzt/mainburg/dr-luitpold-kistler-mainburg,luitpold kistler mainburg,mainburg,hausarzt,,,,,,UNMATCHED
/orthopaede/luckenwalde/dr-med-bettina-kuehne,https://rzte-online.vercel.app/orthopaede/luckenwalde/dr-med-bettina-kuehne,bettina kuehne,luckenwalde,orthopaede,,,,,,UNMATCHED
/hausarzt/neubrandenburg/gemeinschaftspraxis-dr-sren-dreler-dr-gunnar-zinapold-neubrandenburg,https://rzte-online.vercel.app/hausarzt/neubrandenburg/gemeinschaftspraxis-dr-sren-dreler-dr-gunnar-zinapold-neubrandenburg,sren dreler gunnar zinapold neubrandenburg,neubrandenburg,hausarzt,,,,,,UNMATCHED
/hausarzt/kassel/frau-charlotte-lehnert,https://rzte-online.vercel.app/hausarzt/kassel/frau-charlotte-lehnert,charlotte lehnert,kassel,hausarzt,,,,,,UNMATCHED
/hausarzt/ulm/dr-med-frank-riederle-ulm,https://rzte-online.vercel.app/hausarzt/ulm/dr-med-frank-riederle-ulm,frank riederle ulm,ulm,hausarzt,,,,,,UNMATCHED
/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,https://rzte-online.vercel.app/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,natalya klassen landau,landau,frauenarzt,,,,,,UNMATCHED
/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,https://rzte-online.vercel.app/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,andrey nefedev julia carolin nefedev castrop rauxel,castrop-rauxel,hausarzt,,,,,,UNMATCHED
/hausarzt/weimar/dr-med-heiko-filz-weimar,https://rzte-online.vercel.app/hausarzt/weimar/dr-med-heiko-filz-weimar,heiko filz weimar,weimar,hausarzt,,,,,,UNMATCHED
/hausarzt/leipzig/frau-dr-med-katja-khn-leipzig,https://rzte-online.vercel.app/hausarzt/leipzig/frau-dr-med-katja-khn-leipzig,katja khn leipzig,leipzig,hausarzt,,,,,,UNMATCHED
/hno-arzt/lorsch/hno-praxis-lorsch-dr-med-sabine-weiss-lorsch,https://rzte-online.vercel.app/hno-arzt/lorsch/hno-praxis-lorsch-dr-med-sabine-weiss-lorsch,hno lorsch sabine weiss lorsch,lorsch,hno-arzt,,,,,,UNMATCHED
/hausarzt/frankenthal/dr-med-duc-chung-bui-facharzt-fuer-allgemeinmedizin-notfallmedizin,https://rzte-online.vercel.app/hausarzt/frankenthal/dr-med-duc-chung-bui-facharzt-fuer-allgemeinmedizin-notfallmedizin,duc chung bui,frankenthal,hausarzt,,,,,,UNMATCHED
/hausarzt/pattensen/frau-claudia-timm-pattensen,https://rzte-online.vercel.app/hausarzt/pattensen/frau-claudia-timm-pattensen,claudia timm pattensen,pattensen,hausarzt,,,,,,UNMATCHED
/arzt/korbach/herr-walter-brggemann-korbach,https://rzte-online.vercel.app/arzt/korbach/herr-walter-brggemann-korbach,walter brggemann korbach,korbach,arzt,,,,,,UNMATCHED
/hausarzt/offenbach/dr-med-r-kappus-offenbach,https://rzte-online.vercel.app/hausarzt/offenbach/dr-med-r-kappus-offenbach,kappus offenbach,offenbach,hausarzt,,,,,,UNMATCHED
/hausarzt/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-griesser-aleksic-eisenach,https://rzte-online.vercel.app/hausarzt/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-griesser-aleksic-eisenach,katja heim neusatz aleksandar griesser aleksic eisenach,eisenach,hausarzt,,,,,,UNMATCHED
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,https://rzte-online.vercel.app/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,qassim al saadawi muenchen,muenchen,hausarzt,Zahnarzt München - Dental21,"Zweibrückenstraße 2, 80331 München",https://navoria.de/praxis/muenchen/zahnarzt-muenchen-dental21-7UcdxA,0.599,0.599,REVIEW
/hausarzt/homberg/drsmed-volker-dittschar-und-andr-otto-homberg,https://rzte-online.vercel.app/hausarzt/homberg/drsmed-volker-dittschar-und-andr-otto-homberg,volker dittschar andr otto homberg,homberg,hausarzt,,,,,,UNMATCHED
/hausarzt/erkelenz/praxis-dr-beate-abuzahra-2652,https://rzte-online.vercel.app/hausarzt/erkelenz/praxis-dr-beate-abuzahra-2652,beate abuzahra,erkelenz,hausarzt,,,,,,UNMATCHED
/augenarzt/neutraubling/drmed-bernhard-roesen-neutraubling,https://rzte-online.vercel.app/augenarzt/neutraubling/drmed-bernhard-roesen-neutraubling,bernhard roesen neutraubling,neutraubling,augenarzt,,,,,,UNMATCHED
/hausarzt/hagen/dr-med-m-farsab-hagen,https://rzte-online.vercel.app/hausarzt/hagen/dr-med-m-farsab-hagen,farsab hagen,hagen,hausarzt,,,,,,UNMATCHED
/hausarzt/pinneberg/frau-dr-med-mechthild-tammen-pinneberg,https://rzte-online.vercel.app/hausarzt/pinneberg/frau-dr-med-mechthild-tammen-pinneberg,mechthild tammen pinneberg,pinneberg,hausarzt,,,,,,UNMATCHED
/frauenarzt/oberndorf/ildiko-husar-fachrztin-fr-frauenheilkunde-und-geburtshilfe-oberndorf,https://rzte-online.vercel.app/frauenarzt/oberndorf/ildiko-husar-fachrztin-fr-frauenheilkunde-und-geburtshilfe-oberndorf,ildiko husar oberndorf,oberndorf,frauenarzt,,,,,,UNMATCHED
/hausarzt/landau/praxis-dr-manfred-lehmann-landau,https://rzte-online.vercel.app/hausarzt/landau/praxis-dr-manfred-lehmann-landau,manfred lehmann landau,landau,hausarzt,,,,,,UNMATCHED
/hausarzt/troisdorf/dr-heeg-troisdorf,https://rzte-online.vercel.app/hausarzt/troisdorf/dr-heeg-troisdorf,heeg troisdorf,troisdorf,hausarzt,,,,,,UNMATCHED
/hausarzt/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich,https://rzte-online.vercel.app/hausarzt/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich,klausenburg roland henrich,esslingen-am-neckar,hausarzt,,,,,,UNMATCHED
/hausarzt/erfurt/praxis-fr-allgemeinmedizin-wolfgang-arand-erfurt,https://rzte-online.vercel.app/hausarzt/erfurt/praxis-fr-allgemeinmedizin-wolfgang-arand-erfurt,wolfgang arand erfurt,erfurt,hausarzt,,,,,,UNMATCHED
/hausarzt/ravensburg/dr-med-ingrid-schubert-ravensburg,https://rzte-online.vercel.app/hausarzt/ravensburg/dr-med-ingrid-schubert-ravensburg,ingrid schubert ravensburg,ravensburg,hausarzt,,,,,,UNMATCHED
/hausarzt/crailsheim/herr-dr-gerhard-slavetinsky,https://rzte-online.vercel.app/hausarzt/crailsheim/herr-dr-gerhard-slavetinsky,gerhard slavetinsky,crailsheim,hausarzt,,,,,,UNMATCHED
/hausarzt/hueckelhoven/hausarztpraxis-baal-hckelhoven,https://rzte-online.vercel.app/hausarzt/hueckelhoven/hausarztpraxis-baal-hckelhoven,baal hueckelhoven,hueckelhoven,hausarzt,,,,,,UNMATCHED
/hausarzt/holzgerlingen/dr-med-annemarie-trost-holzgerlingen,https://rzte-online.vercel.app/hausarzt/holzgerlingen/dr-med-annemarie-trost-holzgerlingen,annemarie trost holzgerlingen,holzgerlingen,hausarzt,,,,,,UNMATCHED
/hausarzt/delitzsch/dr-med-gerald-eckhardt-delitzsch,https://rzte-online.vercel.app/hausarzt/delitzsch/dr-med-gerald-eckhardt-delitzsch,gerald eckhardt delitzsch,delitzsch,hausarzt,,,,,,UNMATCHED
/arzt/backnang/martina-aggensteiner-backnang,https://rzte-online.vercel.app/arzt/backnang/martina-aggensteiner-backnang,martina aggensteiner backnang,backnang,arzt,,,,,,UNMATCHED
/hausarzt/ansbach/dr-med-ulrike-may-ansbach,https://rzte-online.vercel.app/hausarzt/ansbach/dr-med-ulrike-may-ansbach,ulrike may ansbach,ansbach,hausarzt,,,,,,UNMATCHED
/orthopaede/frankenbergsachsen/herr-dr-med-dirk-harlos-frankenbergsachsen,https://rzte-online.vercel.app/orthopaede/frankenbergsachsen/herr-dr-med-dirk-harlos-frankenbergsachsen,dirk harlos frankenbergsachsen,frankenbergsachsen,orthopaede,,,,,,UNMATCHED
/hausarzt/hofgeismar/gemeinschaftspraxis-trendelburg-hofgeismar,https://rzte-online.vercel.app/hausarzt/hofgeismar/gemeinschaftspraxis-trendelburg-hofgeismar,trendelburg hofgeismar,hofgeismar,hausarzt,,,,,,UNMATCHED
/hausarzt/euskirchen/dr-med-elsbeth-brammertz-euskirchen,https://rzte-online.vercel.app/hausarzt/euskirchen/dr-med-elsbeth-brammertz-euskirchen,elsbeth brammertz euskirchen,euskirchen,hausarzt,,,,,,UNMATCHED
/arzt/burgwedel/drmed-dorothee-kiwit-putzer-burgwedel,https://rzte-online.vercel.app/arzt/burgwedel/drmed-dorothee-kiwit-putzer-burgwedel,dorothee kiwit putzer burgwedel,burgwedel,arzt,,,,,,UNMATCHED
/arzt/sondershausen/dr-clemens-witzenhausen-sondershausen,https://rzte-online.vercel.app/arzt/sondershausen/dr-clemens-witzenhausen-sondershausen,clemens witzenhausen sondershausen,sondershausen,arzt,,,,,,UNMATCHED
/arzt/flensburg/drcarolin-langhanke-dr-christina-brombacher-flensburg,https://rzte-online.vercel.app/arzt/flensburg/drcarolin-langhanke-dr-christina-brombacher-flensburg,drcarolin langhanke christina brombacher flensburg,flensburg,arzt,,,,,,UNMATCHED
/augenarzt/aschersleben/augenarztpraxis-bredehorn-mayr-aschersleben,https://rzte-online.vercel.app/augenarzt/aschersleben/augenarztpraxis-bredehorn-mayr-aschersleben,bredehorn mayr aschersleben,aschersleben,augenarzt,,,,,,UNMATCHED
/hausarzt/duisburg/herr-matthias-mahle-duisburg,https://rzte-online.vercel.app/hausarzt/duisburg/herr-matthias-mahle-duisburg,matthias mahle duisburg,duisburg,hausarzt,,,,,,UNMATCHED
/hausarzt/herzogenrath/dr-med-oliver-fensky-herzogenrath,https://rzte-online.vercel.app/hausarzt/herzogenrath/dr-med-oliver-fensky-herzogenrath,oliver fensky herzogenrath,herzogenrath,hausarzt,,,,,,UNMATCHED
