path,name,street,postal_code,city,telephone
/hausarzt/offenbach/frau-dr-med-gabriele-frey-offenbach,Frau Dr. med. Gabriele Frey,Bieberer Str. 148 ,63071,Offenbach,069 858443
/hautarzt/berlin/hautarztpraxis-rahaf-ali,Hautarztpraxis Rahaf Ali,Frankfurter Allee 70,10247,Berlin,030 20830050
/hausarzt/crailsheim/gemeinschaftspraxis-ulrich-rupp-florian-setzer,Gemeinschaftspraxis Ulrich Rupp & Florian Setzer,Haller Str. 124,74564,Crailsheim,07951 7990
/orthopaede/wernigerode/dr-med-christian-gottwald-wernigerode,Dr. med. Christian Gottwald,Ilsenburger Str. 44 ,38855,Wernigerode,03943 632048
/hautarzt/annaberg-buchholz/diana-demmler-fachrztin-fr-haut-und-geschlechtskrankheiten-annaberg-buchholz,Diana Demmler - Fachärztin für Haut- und Geschlechtskrankheiten,Geyersdorfer Str. 1 ,09456,Annaberg-Buchholz,03733 6761461
/arzt/duesseldorf/dr-med-jrg-wienke-dsseldorf,Dr. med. Jörg Wienke,Ritastraße 2 ,40589,Düsseldorf,0211 791200
/arzt/coburg/dr-jaweed-abo-shawish,Dr. Jaweed Abo-Shawish,Hindenburgstraße 11,96450,Coburg,09561 92301
/hausarzt/koblenz/herr-dr-med-uwe-barnikel-koblenz,Herr Dr. med. Uwe Barnikel,Kemmertstraße 1 ,56072,Koblenz,0261 96396389
/augenarzt/montabaur/dr-med-christhoper-hagelauer-montabaur,Dr. med. Christhoper Hagelauer,Bahnhofstraße 35 ,56410,Montabaur,02602 2411
/augenarzt/frankfurt/dr-med-c-hofmann-frankfurt,Dr. med. C. Hofmann,Pfingstweidstraße 5 ,60316,Frankfurt,069 433362
/hausarzt/cuxhaven/herr-dr-med-roland-hartwig-cuxhaven,Herr Dr. med. Roland Hartwig,Nordfeldstraße 22 ,27476,Cuxhaven,04721 393372
/orthopaede/selb/herr-dr-med-detlef-phlmann-selb,Herr Dr. med. Detlef Pöhlmann,Wittelsbacherstraße 25 ,95100,Selb,09287 79979
/hausarzt/dueren/herr-dr-med-axel-storch-dren,Herr Dr. med. Axel Storch,Marienstraße 13 ,52351,Düren,02421 13985
/hausarzt/gummersbach/dr-med-christiane-sieber-gummersbach,Dr. med. Christiane Sieber,Moltkestraße 2 ,51643,Gummersbach,02261 818578
/hautarzt/bad-segeberg/herr-dr-med-stefan-peker-6982,Herr Dr. med. Stefan Peker,Kirchstraße 25,23795,Bad Segeberg,04551 3919
/hausarzt/muenster/prof-dr-med-dr-hc-michael-zitzmann-mnster,Prof Dr med Dr hc Michael Zitzmann,Domagkstraße 17-11 ,48149,Münster,0251 8356095
/hausarzt/mainburg/dr-luitpold-kistler-mainburg,Dr. Luitpold Kistler,Promenadenweg 7 ,84048,Mainburg,08751 9081
/orthopaede/luckenwalde/dr-med-bettina-kuehne,Dr. med. Bettina Kühne,Markt  4,14943,Luckenwalde,033714024567
/hausarzt/neubrandenburg/gemeinschaftspraxis-dr-sren-dreler-dr-gunnar-zinapold-neubrandenburg,Gemeinschaftspraxis Dr. Sören Dreßler & Dr. Gunnar Zinapold,Neutorstraße 21 ,17033,Neubrandenburg,0395 7612020
/hausarzt/kassel/frau-charlotte-lehnert,Frau Charlotte Lehnert,Kirchweg  31,34121,Kassel,056114555
/hausarzt/ulm/dr-med-frank-riederle-ulm,Dr. med. Frank Riederle,Schlossergasse 1 ,89077,Ulm,0731 387262
/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,Frauenarztpraxis Natalya Klassen,Theresienstraße 4 ,94405,Landau,09951 690260
/hausarzt/castrop-rauxel/andrey-nefedev-julia-carolin-nefedev-castrop-rauxel,"Andrey Nefedev, Julia Carolin Nefedev",Münsterpl. 9 ,44575,Castrop-Rauxel,02305 27007
/hausarzt/weimar/dr-med-heiko-filz-weimar,Dr. med. Heiko Filz,Carl-August-Allee 14 ,99423,Weimar,03643 901949
/hausarzt/leipzig/frau-dr-med-katja-khn-leipzig,Frau Dr. med. Katja Kühn,Löhrstraße 4 ,04105,Leipzig,0341 9136980
/hno-arzt/lorsch/hno-praxis-lorsch-dr-med-sabine-weiss-lorsch,HNO Praxis Lorsch - Dr. med. Sabine Weiss,Heppenheimer Str. 18 ,64653,Lorsch,06251 588892
/hausarzt/frankenthal/dr-med-duc-chung-bui-facharzt-fuer-allgemeinmedizin-notfallmedizin,,,,,
/hausarzt/pattensen/frau-claudia-timm-pattensen,Frau Claudia Timm,Steinstraße 32 ,30982,Pattensen,05101 852030
/arzt/korbach/herr-walter-brggemann-korbach,Herr Walter Brüggemann,Dr.-Hartwig-Straße 19 ,34497,Korbach,05631 3450
/hausarzt/offenbach/dr-med-r-kappus-offenbach,Dr. med. R. Kappus,Berliner Str. 75 ,63065,Offenbach,069 884355
/hausarzt/eisenach/gemeinschaftspraxis-dr-med-katja-heim-dr-med-univ-neusatz-aleksandar-griesser-aleksic-eisenach,Gemeinschaftspraxis Dr. med Katja Heim & Dr. med. univ. Neusatz Aleksandar Griesser-Aleksic,Nordpl. 22 ,99817,Eisenach,03691 818112
/hausarzt/muenchen/praxis-dr-med-qassim-al-saadawi-mnchen,Praxis Dr. med. Qassim Al Saadawi,Putzbrunner Str. 5 ,81737,München,089 6370928
/hausarzt/homberg/drsmed-volker-dittschar-und-andr-otto-homberg,Drs.med Volker Dittschar und André Otto,Am Hang 2 ,34576,Homberg,05681 930650
/hausarzt/erkelenz/praxis-dr-beate-abuzahra-2652,Praxis Dr. Beate Abuzahra,Quadtstraße 24,41189,Erkelenz,02166 5075
/augenarzt/neutraubling/drmed-bernhard-roesen-neutraubling,Dr.med. Bernhard Roesen,Aussiger Str. 11 ,93073,Neutraubling,09401 911892
/hausarzt/hagen/dr-med-m-farsab-hagen,Dr. Med. M. Farsab,Friedrich-Ebert-Platz 2 ,58095,Hagen,02331 13040
